#Table1
ra,dec,z
197.15748666221,0.222789494200287,0.08063152
196.495593607232,0.218685157962941,0.08979361
196.47421903683,0.347327986764762,0.08981418
195.657216405623,0.393393809346117,0.06720125
247.037405502652,-0.0522658003336876,0.08431948
244.241553069074,-0.0484378348932881,0.08033779
242.829351255025,-0.0943714724314949,0.08993423
80.1996064083496,1.32120289112588,0.09000331
224.164692956835,-0.35539902556574,0.1110417
224.038491447696,-0.225804981565991,0.1103927
224.023480374384,-0.261882220005781,0.08385658
223.967466637105,-0.372510729296407,0.08406009
223.835617840839,-0.275183115263119,0.08427472
223.277977173115,-0.305023974907731,0.09986261
218.250760650164,-0.375287932923718,0.1050482
217.783478487661,-0.269375877270835,0.1246892
211.733151784866,-0.374339719955994,0.1052569
210.645737934301,-0.394046446983209,0.1053334
209.246391940844,-0.342550703598244,0.1051231
206.741685077715,-0.353675977176863,0.08958714
191.837732353199,-0.251442399046733,0.1051034
239.290053470173,-0.810817079349305,0.1107989
211.904633581204,-0.764767435125582,0.1046246
211.191245020192,-0.819206576431912,0.08377565
204.628003684817,-0.701552174277015,0.07163665
200.30482899674,-0.645412610565743,0.08400247
200.301687388199,-0.684274010224289,0.1103578
200.296249690616,-0.666406120638744,0.1052835
200.111633890143,-0.741928301452557,0.08435389
199.775666757732,-0.752690296231801,0.08408105
199.557114913468,-0.643822388833874,0.1110676
199.55588421893,-0.647869929382062,0.1102697
199.425851262306,-0.787067702288547,0.1101486
198.164194261214,-0.746182931473527,0.08397079
